Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w1-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w1-s2-write-1,write,83721,334884000,64,457.38,457.38,40,70,2800,3370,6350,11200,139.89,559544.74,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(4)KB
w1-s2-write-2,write,119963,479852000,64,319.6,319.6,40,940,1290,1470,2140,4160,200.17,800667.15,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(4)KB
w1-s2-write-3,write,93473,373892000,64,410.09,410.09,50,1100,1320,1490,2180,4530,156.01,624053.38,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(4)KB
w1-s2-write-4,write,180312,721248000,64,212.61,212.61,60,150,1080,1320,1730,3660,300.84,1203379.29,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(4)KB
w1-s2-write-5,write,88058,352232000,64,434.99,434.99,40,60,2340,3070,5720,10420,147.09,588347.87,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(4)KB
w1-s2-write-6,write,85561,342244000,64,447.5,447.5,30,50,2870,3520,6240,11410,142.97,571886.32,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(4)KB
w2-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w2-s2-write-1,write,84642,338568000,64,452.36,452.36,40,80,2760,3310,6210,11440,141.45,565798.28,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(4)KB
w2-s2-write-2,write,113975,455900000,64,336.47,336.47,40,990,1340,1520,2420,4360,190.15,760596.34,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(4)KB
w2-s2-write-3,write,87737,350948000,64,437.15,437.15,50,1170,1370,1550,2570,4390,146.37,585467.29,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(4)KB
w2-s2-write-4,write,175288,701152000,64,218.8,218.8,50,170,1060,1280,1900,4030,292.36,1169433.4,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(4)KB
w2-s2-write-5,write,91950,367800000,64,416.24,416.24,40,70,2200,2910,5350,10270,153.72,614873.81,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(4)KB
w2-s2-write-6,write,86142,344568000,64,443.66,443.66,30,40,2810,3530,6270,12620,144.22,576866.1,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(4)KB
w3-s1-cleanup-1,cleanup-delete,360000,0,128,8.81,8.81,10,10,10,20,40,46610,18222.53,0,100%,100% cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) deleteContainer=false cprefix=s3bucket containers=r(1-60) objects=r(1-6000)
w3-s2-dispose-1,dispose-delete,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w4-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w4-s2-write-1,write,46106,184424000,64,828.34,828.34,40,70,4650,5710,11180,22280,77.25,309015.38,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(4)KB
w4-s2-write-2,write,221745,886980000,64,172.92,172.92,50,150,730,1080,1360,4760,369.88,1479522.87,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(4)KB
w4-s2-write-3,write,47786,191144000,64,798.31,798.31,40,60,4580,5900,11030,20440,80.16,320646.24,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(4)KB
w4-s2-write-4,write,220575,882300000,64,173.89,173.89,70,270,520,700,1540,6170,367.81,1471256.79,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(4)KB
w4-s2-write-5,write,46131,184524000,64,827.59,827.59,40,120,4450,5620,10940,19130,77.32,309296.1,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(4)KB
w4-s2-write-6,write,159465,637860000,64,240.54,240.54,60,510,790,1020,1320,5180,265.95,1063793.01,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(4)KB
w5-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w5-s2-write-1,write,47990,191960000,64,663.04,663.04,60,1150,2870,3500,5180,29320,96.53,386127.37,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(4)KB
w5-s2-write-2,write,55114,220456000,64,575.55,575.55,40,270,2140,4040,6830,29470,111.29,445172.14,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(4)KB
w5-s2-write-3,write,47948,191792000,64,663.19,663.19,50,1270,2820,3510,5070,27100,96.51,386033.44,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(4)KB
w5-s2-write-4,write,42340,169360000,64,751.13,751.13,50,1450,3220,4080,5960,29350,85.22,340889.25,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(4)KB
w5-s2-write-5,write,56701,226864000,64,561.56,553.43,40,80,1680,4540,7420,122260,114.29,457254.02,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(4)KB
w5-s2-write-6,write,253885,1015540000,64,151.07,151.07,30,60,310,1030,2740,7200,423.34,1693344.71,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(4)KB
w6-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w8-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w9-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w9-s2-write-1,write,378589,1514356000,64,101.3,101.3,50,160,310,490,770,3720,631.08,2524316.32,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(4)KB
w9-s2-write-2,write,523019,2092076000,64,73.28,73.28,20,30,240,570,820,3420,872.1,3488388.22,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(4)KB
w9-s2-write-3,write,391180,1564720000,64,98.02,98.02,20,80,370,680,880,4080,652.15,2608617.09,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(4)KB
w9-s2-write-4,write,417325,1669300000,64,91.89,91.89,30,110,320,580,780,3610,695.65,2782600.55,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(4)KB
w9-s2-write-5,write,420062,1680248000,64,91.27,91.27,20,60,370,660,880,3890,700.36,2801447.84,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(4)KB
w9-s2-write-6,write,458872,1835488000,64,83.55,83.55,20,50,320,570,810,3610,764.94,3059775.19,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(4)KB
w10-s1-read-1,read,450171,1800684000,64,42.64,2.96,50,50,50,50,50,1190,1500.67,6002670.13,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) timeout=30000
w10-s1-read-2,read,450002,1800008000,64,42.66,2.97,50,50,50,50,50,1190,1500.1,6000404.48,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) timeout=30000
w10-s1-read-3,read,449946,1799784000,64,42.67,2.97,50,50,50,50,50,1190,1499.94,5999775.27,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) timeout=30000
w10-s1-read-4,read,450087,1800348000,64,42.65,2.96,50,50,50,50,50,1200,1500.4,6001586.03,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) timeout=30000
w10-s1-read-5,read,450155,1800620000,64,42.65,2.95,50,50,50,50,50,1190,1500.62,6002463.69,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) timeout=30000
w10-s1-read-6,read,450111,1800444000,64,42.65,2.95,50,50,50,50,50,1190,1500.47,6001892.58,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) timeout=30000
w11-s1-cleanup-1,cleanup-delete,360000,0,128,8.69,8.69,10,10,10,20,20,46030,18571.28,0,100%,100% cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) deleteContainer=false cprefix=s3bucket containers=r(1-60) objects=r(1-6000)
w11-s2-dispose-1,dispose-delete,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w12-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w13-s1-cleanup-1,cleanup-delete,360000,0,128,19.37,19.37,10,10,10,10,20,75320,10731.16,0,100%,100% cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) cprefix=s3bucket containers=r(1-60) objects=r(1-6000) deleteContainer=false cprefix=s3bucket containers=r(1-60) objects=r(1-6000)
w13-s2-dispose-1,dispose-delete,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w14-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w14-s2-write-1,write,258847,33132416000,64,148.1,147.06,50,120,580,910,1190,2630,431.82,55272739.45,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(128)KB
w14-s2-write-2,write,207429,26550912000,64,184.78,183.75,50,360,720,900,1190,2800,346.16,44308309.1,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(128)KB
w14-s2-write-3,write,193203,24729984000,64,198.43,197.44,80,450,600,710,950,2540,322.36,41261826.21,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(128)KB
w14-s2-write-4,write,238763,30561664000,64,160.68,159.68,70,280,540,740,990,1510,398.04,50948709.22,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(128)KB
w14-s2-write-5,write,270387,34609536000,64,141.83,140.78,60,140,430,840,1090,1720,450.91,57716521.92,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(128)KB
w14-s2-write-6,write,271120,34703360000,64,141.47,140.46,100,230,390,520,820,1740,452.07,57865229.6,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(128)KB
w15-s1-read-1,read,198619,25423232000,64,96.61,96.5,80,170,270,350,560,900,662.36,84782351.06,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) timeout=30000
w15-s1-read-2,read,196749,25183872000,64,97.54,97.43,80,180,270,350,540,970,656.05,83974739.82,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) timeout=30000
w15-s1-read-3,read,200723,25692544000,64,95.61,95.5,70,170,270,360,520,1020,669.27,85666213.86,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) timeout=30000
w15-s1-read-4,read,200942,25720576000,64,95.42,95.31,80,170,270,350,500,980,670.61,85838681.56,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) timeout=30000
w15-s1-read-5,read,198119,25359232000,64,96.83,96.73,70,180,280,360,540,860,660.81,84584210.38,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) timeout=30000
w15-s1-read-6,read,190979,24445312000,64,100.5,100.39,80,180,280,390,590,1000,636.73,81501571.37,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) timeout=30000
